,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
232,0,0,0.0,0,0.0,2020-03-07 17:30:00,Tottenham,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,29
233,0,0,0.0,0,0.0,2020-06-22 19:00:00,Man City,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,30
234,0,0,0.0,0,0.0,2020-06-25 17:00:00,Watford,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,31
235,0,0,0.0,0,0.0,2020-06-29 19:00:00,Crystal Palace,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,32
236,0,0,0.0,0,0.0,2020-07-05 11:00:00,Sheffield United,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,33
237,0,0,0.0,0,0.0,2020-07-08 17:00:00,West Ham,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,34
238,0,0,0.0,0,0.0,2020-07-11 14:00:00,Liverpool,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,35
239,0,0,0.0,0,0.0,2020-07-15 17:00:00,Wolves,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,36
240,0,0,0.0,0,0.0,2020-07-18 16:30:00,Norwich,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,37
241,0,0,0.0,0,0.0,2020-07-26 15:00:00,Brighton,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,38
242,0,0,23.1,0,4.4,2019-08-10 14:00:00,Brighton,Abdoulaye Doucour?,Watford,0,1
243,0,0,12.2,0,12.6,2019-08-17 14:00:00,Everton,Abdoulaye Doucour?,Watford,2,2
244,0,0,46.5,0,17.8,2019-08-24 14:00:00,West Ham,Abdoulaye Doucour?,Watford,2,3
245,0,0,3.7,0,7.4,2019-08-31 14:00:00,Newcastle United,Abdoulaye Doucour?,Watford,1,4
